tile_row,tile_col,tile_purity,n_spots,FMRP_signature_score,Cell_cycle_signature_score,YAP_signature_score,WNT_signature_score,EMT_signature_score,x_min_hires,y_min_hires,x_max_hires,y_max_hires,FMRP_signature_score_z,FMRP_signature_score_binary,Cell_cycle_signature_score_z,Cell_cycle_signature_score_binary,YAP_signature_score_z,YAP_signature_score_binary,WNT_signature_score_z,WNT_signature_score_binary,EMT_signature_score_z,EMT_signature_score_binary
10,12,0.5302042902342874,146,0.1082386201532219,-0.07384794959209168,-0.1889480365683499,0.13981169558848125,2.0481066654588536,1200,1000,1300,1100,0.7693771000676731,0,-1.0645760655067154,0,-0.29867969330943606,0,0.437619918296393,0,1.0443002451923429,1
10,13,0.629523210625956,43,0.042609319566685705,-0.015728332930266906,-0.19500431230825974,0.27488979429825666,1.43463189967843,1300,1000,1400,1100,-0.6332067821255001,0,-0.07384894284933285,0,-0.3897230887176395,0,2.5421803961647926,1,-0.5395427572924694,0
11,10,0.5616896998460238,147,0.13031423572885562,0.05712764046189324,-0.19743191027046603,0.11677158138895004,2.0655620492991407,1000,1100,1100,1200,1.2411618413213141,1,1.1680792224241408,1,-0.4262169292653598,0,0.07864748521462059,0,1.0893658111996993,1
11,11,0.3171028744280258,151,0.053200817473116356,0.036858115062276195,-0.22818603199838802,0.1489208094618681,2.410393897555522,1100,1100,1200,1200,-0.4068526366588035,0,0.8225578695625055,0,-0.8885406055894023,0,0.5795428593908054,0,1.9796379794444432,1
11,13,0.369624349201189,40,0.006560517651434163,0.045837414865691914,0.021596805969874077,0.12708696018836715,1.2497532226244608,1300,1100,1400,1200,-1.4036167680134017,0,0.9756221251214952,0,2.8664201425594724,1,0.23936442410298067,0,-1.0168546457253589,0
11,8,0.3378911972916139,148,-0.005575123408270149,0.045044257142269034,-0.187310708234976,0.01600363193331538,1.682249916158281,800,1100,900,1200,-1.6629712697116088,0,0.9621016837580824,0,-0.2740658980877154,0,-1.4913497673808653,0,0.09974688356482675,0
11,9,0.6291733469912747,149,0.10239766506357474,0.011789000272156945,-0.15738291247579075,0.13975932254087206,1.4170246002018052,900,1100,1000,1200,0.6445482600200625,0,0.3952210530088589,0,0.17583570151151684,0,0.436803929271106,0,-0.5850005326147033,0
12,10,0.4526684501207326,150,0.10708474721641638,0.08206820144267063,-0.2690010501861572,0.14760582890293816,2.432381226264106,1000,1200,1100,1300,0.7447173281548464,0,1.5932246662029637,1,-1.5021087453249637,0,0.5590550368649991,0,2.0364039275501047,1
12,8,0.3961414232818312,130,0.05200023742066505,0.01750946319217466,-0.13520720748412302,0.0434838967848491,1.8800105754901202,800,1200,900,1300,-0.4325106006444244,0,0.49273404594537257,0,0.5092008857793877,0,-1.0631983506796716,0,0.6103169247808751,0
12,9,0.6389077557521119,147,0.14939464410517503,0.03955006930220336,-0.10721105934540973,0.18590311511033247,1.553181073584524,900,1200,1000,1300,1.6489350922186337,1,0.8684458542332676,0,0.9300642173649905,0,1.1557391457734985,1,-0.2334775529597996,0
13,10,0.44380895856837876,84,0.08887470659885524,-0.07960940529143727,-0.19320399776337638,0.0865535252499374,1.5176530428159805,1000,1300,1100,1400,0.35554497318518197,0,-1.1627878355626575,0,-0.36265913786599024,0,-0.39215960546567075,0,-0.3252023085057568,0
13,9,0.5868626833092955,71,0.05132695788043172,0.03853330820073818,-0.1548022807931676,0.12573182938498817,1.7477411225815895,900,1300,1000,1400,-0.44689946389455976,0,0.8511137922145894,0,0.21463008287293997,0,0.21825104777939852,0,0.2688292889118338,0
8,10,0.31866857146364164,107,0.04435353809325936,-0.0181291866653984,-0.1252264815178987,0.015177745174936249,1.2893667004041582,1000,800,1100,900,-0.5959305538169385,0,-0.11477472745607144,0,0.659240154073571,0,-1.504217350264261,0,-0.9145822572178288,0
8,11,0.7152916325700405,134,0.12458068946587601,-0.11473786032823073,-0.16367620622340723,0.120782093036935,1.2960497946288454,1100,800,1200,900,1.1186284682029992,1,-1.7615996512789405,0,0.08122923778852398,0,0.14113255415621656,0,-0.897328129398485,0
8,12,0.7002115130435235,129,0.1046854108403763,-0.10195901820143498,-0.1519287826232516,0.13225039758003457,1.7411869739069188,1200,800,1300,900,0.6934403756516534,0,-1.5437670808261985,0,0.25782709723020014,0,0.3198124491214489,0,0.2519080672175451,0
8,13,0.7133779348534005,54,0.10988368265299195,-0.05472787608163831,-0.10200282685550643,0.11988544202613509,1.598401679933807,1300,800,1400,900,0.8045342345602998,0,-0.738648667805012,0,1.0083590623026777,1,0.12716244132671398,0,-0.11672891890095802,0
9,10,0.3359685057411564,135,-0.014761317514382349,-0.026999389727998844,-0.20112194306173442,0.0047661279837290455,1.045775465918176,1000,900,1100,1000,-1.859292237279167,0,-0.2659792821717447,0,-0.4816888279886644,0,-1.6664337144314014,0,-1.5434757239547319,0
9,11,0.7194974339109064,149,0.05666108085628025,-0.041239318623770435,-0.2850161482663763,0.07324735320436293,1.2077001347851166,1100,900,1200,1000,-0.33290228817124773,0,-0.5087180439196368,0,-1.7428621339809849,0,-0.5994740706996025,0,-1.1254255155026889,0
9,12,0.6038541012765044,147,0.06069439609084056,-0.06386481035146485,-0.19144800828427685,0.10411932076358028,1.6115083077705366,1200,900,1300,1000,-0.24670507306700795,0,-0.8944000150949664,0,-0.3362615213531259,0,-0.11847882854150216,0,-0.08289078578888343,0
